slide_order,num_correct,Old_name,number,replaced_problem,difficulty_1-3_nick,difficulty_1-3_Sophie,diff_1-3_average
1,6,1_rpmR1_clA_rC_P5,1,,1,1,1
27,5,2_rpmR1_clD_rC_P2,2,,1,1,1
2,6,3_rpmR1_clD_rC_P13,3,,1,1,1
28,5,4_rpmR2_szP_clA_rC_P5,4,,2,1,1.5
29,5,5_rpmR2_szP_clD_rC_P2,5,,2,2,2
30,4,6_rpmR3_szD_clA_rC_P3,6,,2,3,2.5
3,4,7_rpmR3_szD_clD_rC_P1,7,,2,2,2
31,4,8_rpmR4_szA_clA_rC_P6,8,,3,3,3
missed,,9_rpmR4_szA_clA_rC_P7,9,,2,3,2.5
4,3,10_rpmR4_szA_clD_rC_P6,10,,3,3,3
32,3,11_rpmR5_shP_clA_rC_P2,11,,3,2,2.5
33,4,12_rpmR5_shP_clA_rC_P4,12,,2,1,1.5
34,5,13_rpmR5_shP_clD_rC_P12,13,,2,2,2
35,5,14_rpmR6_shD_clA_rC_P1,14,,2,2,2
36,5,15_rpmR6_shD_clA_rC_P2,15,,2,2,2
37,5,16_rpmR6_shD_clD_rC_P2,16,,2,2,2
5,6,17_rpmR7_szP_shD_clA_rA_P3,17,,1,1,1
6,4,18_rpmR7_szP_shD_clA_rA_P6,18,,3,3,3
7,6,19_rpmR7_szP_shD_clD_rA_P9,19,,1,1,1
Aug-38,3-Apr,20_rpmR8_szA_shD_clA_rA_P4,20,20_rpmR3_szD_clD_rC_P6,1,1,1
9,3,21_rpmR8_szA_shD_clA_rA_P6,21,21_rpmR6_shD_clD_rC_P6,1,1,1
39,5,22_rpmR8_szA_shD_clD_rA_P6,22,,1,1,1
40,5,23_rpmR7_szP_shD_clA_rA_P7,23,,2,1,1.5
10,2,24_rpmR7_szP_shD_clD_rA_P6,24,24_rpmR3_szD_clD_rC_P26,1,2,1.5
11,5,25_rpmR8_szA_shD_clA_rA_P7,25,,2,2,2
12,5,26_rpmR8_szA_shD_clD_rA_P8,26,,2,2,2
13,1,27_rpmR7_szP_shD_clD_rA_P3,27,27_rpmR6_shD_clD_rC_P10,1,1,1
14,5,28_rpmR7_szP_shD_clD_rA_P8,28,,2,1,1.5
15,3,29_rpmR8_szA_shD_clA_rA_P8,29,29_rpmR1_allC_P4,1,1,1
41,5,30_rpmR8_szA_shD_clD_rA_P6,30,,2,1,1.5
42,5,31_rpmR9_xP_clA_xNUM_P5,31,,1,1,1
43,4,32_rpmR10_xD_clA_xPOS_P1,32,32_rpmR1_allC_P10,1,1,1
44,2,33_rpmR10_xD_clA_xPOS_P2,33,33_rpmR6_shD_clD_rC_P8,1,1,1
45,5,34_rpmR11_xA_clA_xNUM_P8,34,,2,1,1.5
16,6,35_rpmR11_xA_clD_xNUM_P1,35,,1,1,1
46,4,36_rpmR9_xP_clA_xNUM_P4,36,,3,3,3
47,4,37_rpmR9_xP_clA_xPOS_P1,37,,3,3,3
48,3,38_rpmR9_xP_clA_xPOS_P5,38,38_rpmR1_allC_P5,1,1,1
49,4,39_rpmR10_xD_clA_xNUM_P9,39,,3,3,3
17,5,40_rpmR10_xD_clA_xPOS_P3,40,,2,2,2
50,4,41_rpmR10_xD_clD_xNUM_P9,41,,2,2,2
18,5,42_rpmR10_xD_clD_xPOS_P7,42,,3,2,2.5
51,2,43_rpmR11_xA_clA_xPOS_P1,43,43_rpmR10_xD_clD_xNUM_P5,2,1,1.5
52,3,44_rpmR11_xA_clA_xPOS_P8,44,44_rpmR10_xD_clD_xNUM_P1,2,1,1.5
19,5,45_rpmR12_xP_szP_shD_clA_xNUM_P4,45,,3,3,3
20,6,46_rpmR12_xP_szP_shD_clA_xPOS_P4,46,,2,2,2
53,5,47_rpmR13_xP_szA_sh_D_clA_xNUM_P6,47,,2,2,2
54,4,48_rpmR13_xP_szA_sh_D_clA_xPOS_P4,48,,3,3,3
21,3,49_rpmR13_xP_szA_sh_D_clA_xNUM_P7,49,,3,3,3
22,4,50_rpmR12_xP_szP_shD_clA_xNUM_P5,50,,2,3,2.5
55,3,51_rpmR12_xP_szP_shD_clA_xPOS_P2,51,51_rpmR1_allC_P9,1,1,1
56,3,52_rpmR12_xP_szP_shD_clA_xPOS_P6,52,,3,3,3
23,4,53_rpmR12_xP_szP_shD_clA_xPOS_P8,53,,3,3,3
24,4,54_rpmR13_xP_szA_sh_D_clA_xNUM_P1,54,,3,3,3
25,6,55_rpmR13_xP_szA_sh_D_clA_xPOS_P4,55,,3,3,3
26,2,56_rpmR13_xP_szA_sh_D_clA_xPOS_P7,56,56_rpmR3_szD_clD_rC_P23,2,2,2