input,output
acorn,vocab-item-001
aloe,vocab-item-002
antenna,vocab-item-003
artichoke,vocab-item-004
bamboo,vocab-item-005
barrel,vocab-item-006
blender,vocab-item-007
blower,vocab-item-008
bouquet,vocab-item-009
buffet,vocab-item-010
bulldozer,vocab-item-011
cake,vocab-item-012
caramel,vocab-item-013
carousel,vocab-item-014
carrot,vocab-item-015
cassette,vocab-item-016
cheese,vocab-item-017
cloak,vocab-item-018
clothespin,vocab-item-019
coaster,vocab-item-020
cork,vocab-item-021
cornbread,vocab-item-022
corset,vocab-item-023
dumpling,vocab-item-024
elbow,vocab-item-025
fan,vocab-item-026
foam,vocab-item-027
footbath,vocab-item-028
fruitcake,vocab-item-029
gutter,vocab-item-030
hamster,vocab-item-031
hedgehog,vocab-item-032
hoe,vocab-item-033
hopscotch,vocab-item-034
kimono,vocab-item-035
latch,vocab-item-036
locker,vocab-item-037
lollipop,vocab-item-038
map,vocab-item-039
marshmallow,vocab-item-040
net,vocab-item-041
oil,vocab-item-042
omelet,vocab-item-043
pie,vocab-item-044
pistachio,vocab-item-045
pitcher,vocab-item-046
potato,vocab-item-047
prism,vocab-item-048
puddle,vocab-item-049
pump,vocab-item-050
rice,vocab-item-051
saddle,vocab-item-052
sandbag,vocab-item-053
scaffolding,vocab-item-054
scoop,vocab-item-055
seagull,vocab-item-056
ship,vocab-item-057
shower,vocab-item-058
silverware,vocab-item-059
sink,vocab-item-060
ski,vocab-item-061
sloth,vocab-item-062
snail,vocab-item-063
sorbet,vocab-item-064
spatula,vocab-item-065
sprinkler,vocab-item-066
squash,vocab-item-067
squirrel,vocab-item-068
stew,vocab-item-069
stretcher,vocab-item-070
stump,vocab-item-071
sunflower,vocab-item-072
swordfish,vocab-item-073
tapestry,vocab-item-074
teabag,vocab-item-075
telescope,vocab-item-076
thermos,vocab-item-077
treasure,vocab-item-078
trumpet,vocab-item-079
tulip,vocab-item-080
turbine,vocab-item-081
turkey,vocab-item-082
turtle,vocab-item-083
typewriter,vocab-item-084
watermelon,vocab-item-085
waterwheel,vocab-item-086
ant,vocab-item-087
ball,vocab-item-088
bear,vocab-item-089
duck,vocab-item-090
fork,vocab-item-091
kitten,vocab-item-092
knee,vocab-item-093
milkshake,vocab-item-094
skin,vocab-item-095
wall,vocab-item-096
wheel,vocab-item-097
farm,vocab-item-098
juggling,vocab-item-099
dressing,vocab-item-100
roof,vocab-item-101
peeking,vocab-item-102
ruler,vocab-item-103
tunnel,vocab-item-104
envelope,vocab-item-105
diamond,vocab-item-106
calendar,vocab-item-107
panda,vocab-item-108
arrow,vocab-item-109
picking,vocab-item-110
dripping,vocab-item-111
knight,vocab-item-112
delivering,vocab-item-113
dentist,vocab-item-114
claw,vocab-item-115
uniform,vocab-item-116
furry,vocab-item-117
cormorant,vocab-item-118
fetch,vocab-item-119
arcade,vocab-item-120
artifact,vocab-item-121
aversion,vocab-item-122
beret,vocab-item-123
applaud,vocab-item-124
timid,vocab-item-125
camp,vocab-item-126
tumble,vocab-item-127
concentric,vocab-item-128
confectionery,vocab-item-129
couturier,vocab-item-130
degression,vocab-item-131
divan,vocab-item-132
wetland,vocab-item-133
baywindow,vocab-item-134
aesthete,vocab-item-135
ecstatic,vocab-item-136
rickety,vocab-item-137
gourmet,vocab-item-138
gesticulate,vocab-item-139
facade,vocab-item-140
slope,vocab-item-141
habit,vocab-item-142
intersection,vocab-item-143
irrigation,vocab-item-144
kazoo,vocab-item-145
chat,vocab-item-146
colony,vocab-item-147
preserve,vocab-item-148
awning,vocab-item-149
mammalogy,vocab-item-150
metronome,vocab-item-151
paleontologist,vocab-item-152
percussion,vocab-item-153
posterior,vocab-item-154
precarious,vocab-item-155
arbor,vocab-item-156
resuscitation,vocab-item-157
rosette,vocab-item-158
saffron,vocab-item-159
mischievous,vocab-item-160
skimmer,vocab-item-161
sedentary,vocab-item-162
suede,vocab-item-163
tourniquet,vocab-item-164
triad,vocab-item-165
dredging,vocab-item-166
urban,vocab-item-167
steam,vocab-item-168
vertebra,vocab-item-169
bandage,vocab-item-170